SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06457,19219,1153.1399999999999,787.9789999999999,1672.0529999999999,1691.2720000000002,2037.214,3747.705,2613.784,3113.478,1287.673,1153.1399999999999
06460,15849,903.393,491.319,1188.675,935.091,1505.655,2361.5009999999997,2313.9539999999997,3391.686,1347.1650000000002,1410.5610000000001
06461,5700,273.6,171.0,319.2,273.6,627.0,849.3,723.9,1174.2,644.1,638.4
06467,105,0.0,0.0,0.0,17.955000000000002,0.0,0.0,21.0,66.045,0.0,0.0
06468,6844,219.008,184.788,205.32,383.26399999999995,314.824,711.7760000000001,780.216,1560.432,1074.508,1409.864
06469,1165,60.580000000000005,51.260000000000005,118.83,20.970000000000002,29.125,237.66,278.435,231.83499999999998,57.085,79.22
06470,5848,134.504,140.352,245.616,298.248,461.992,602.344,684.216,1233.928,754.392,1292.408
06471,3052,82.40400000000001,45.78,149.548,216.69199999999998,341.82399999999996,442.53999999999996,549.36,763.0,198.38,262.472
06472,2470,61.75,41.99,69.16,98.8,242.06,385.32,429.78,676.7799999999999,326.04,135.85
06473,8457,287.538,93.02700000000002,507.41999999999996,549.705,718.845,1277.007,1183.98,1928.1960000000001,972.5550000000001,947.1839999999999
06475,4201,168.04,96.623,289.869,336.08,453.708,751.9789999999999,466.311,684.763,457.909,495.718
06477,4919,152.489,152.489,255.788,236.112,304.978,624.713,482.062,1057.585,757.526,900.177
06478,4390,17.56,100.97,223.89,158.04000000000002,324.86000000000007,662.89,733.1299999999999,1180.9099999999999,548.75,439.0
06479,3906,113.27399999999999,58.589999999999996,191.394,316.386,371.07,476.532,628.866,988.218,433.56600000000003,328.10400000000004
06480,3948,82.908,71.06400000000001,375.06,209.244,402.69599999999997,631.6800000000001,422.436,852.7680000000001,450.072,446.124
06481,459,9.18,16.065,27.081000000000003,89.964,31.212000000000003,57.834,44.982,89.04599999999999,61.047000000000004,33.048
06482,3948,63.168,122.388,71.06400000000001,244.776,426.38400000000007,489.552,434.28000000000003,769.86,548.772,777.756
06483,6063,248.58299999999997,109.13400000000001,357.71700000000004,436.53600000000006,612.3629999999999,1121.655,921.576,1194.4109999999998,685.119,375.906
